,agenda_item,text,speaker,number_p,number_w,chair,language_ps,ps
0, 1.  Sesijas atsākšana,SĒDI VADA: J. BUZEK Priekšsēdētājs (Sēdi atklāja plkst. 15.00) ,SĒDI VADA: J. BUZEK,2,10,not_available,"['lav', 'lav']","['SĒDI VADA: J. BUZEK Priekšsēdētājs', ' (Sēdi atklāja plkst. 15.00) ']"
1, 1.  Sesijas atsākšana,"  Priekšsēdētājs.   – Ceturtdienas, 2009. gada 17. septembra Eiropas Parlamenta pārtraukto sesiju pasludinu par atsāktu. ",Priekšsēdētājs.,1,13,not_available,['lav'],"['  Priekšsēdētājs.   – Ceturtdienas, 2009. gada 17. septembra Eiropas Parlamenta pārtraukto sesiju pasludinu par atsāktu. ']"
2, 2.  Priekšsēdētāja paziņojumi,"  Priekšsēdētājs.   – Dāmas un kungi, šīs plenārsēdes sākumā es vēlētos sacīt dažus vārdus par pagājušā piektdienā notikušo referendumu. Esmu ļoti apmierināts ar tā iznākumu. Tā bija nozīmīga diena Īrijai un Eiropai.(Aplausi)Jāteic, ka rezultātu paziņošanas brīdī es biju Eiropas otrā malā, Sicīlijā, un tur tos uzvēra gluži tāpat, kā tos uztvērāt jūs ― ar aplausiem. Arī daudzviet Eiropā ļaudis priecājās par Īrijas referenduma iznākumu. Īri ir nepārprotami apliecinājuši, ka joprojām vēlas dzīvot vienotā kontinentā. Míle buíochas do mhuintir na hÉireann. Tūkstoškārt pateicos un apsveicu ar referenduma iznākumu. To teicu īru valodā ― iespējams, ne pilnīgi precīzi, bet apmēram tā tas skan.Eiropas Savienība ir pierādījusi, ka spēj ieklausīties savu iedzīvotāju pamatotajās bailēs un attiecīgi rīkoties. Īrijai dotie solījumi izrādījās pienācīgi un pārliecināja vēlētājus, ka Lisabonas līgums dos labumu viņu valstij. Tā bija pilsoniskās sabiedrības uzvara, un tas ir labs arguments joprojām nerimstošajās dalībvalstu debatēs.Es gribētu uzsvērt, cik liela nozīme bija darba devējiem, arodbiedrībām, zemnieku un zvejnieku organizācijām, kā arī Baznīcai un sociālajiem līderiem. Viņi sekmēja referenduma pozitīvu iznākumu.Es gribētu arī apsveikt Īrijas valdību un opozīciju, kā arī vienu no saviem priekšgājējiem, Pat Cox, kurš vadīja kampaņu „Ireland for Europe”. Apsveicu, Pat Cox!(Aplausi)Esmu pārliecināts, ka ratifikācijas process turpināsies un beigsies pozitīvi divās atlikušajās dalībvalstīs. Esmu saņēmis Polijas prezidenta apstiprinājumu tam, ka tagad, kad ir zināms Īrijas referenduma pozitīvais iznākums, viņš bez vilcināšanās parakstīs Lisabonas līgumu.(Aplausi)Ceru, ka prezidents Václav Klaus rīkosies tāpat, tiklīdz Čehijas Konstitucionālā tiesa kliedēs atlikušās šaubas.Lisabonas līguma mērķis ir sagatavot Eiropas Savienību 21. gadsimta pārbaudījumiem. Mums jāuzklausa iedzīvotāju bažas saistībā ar enerģētikas problēmām, pieaugošo bezdarba līmeni, imigrāciju un klimata pārmaiņu jautājumiem. Mums būs jārīkojas kopā, kā jau esam to daudzkārt darījuši agrāk, un mēs nedrīkstam aizmirst, ka panākumus var gūt, ievērojot Eiropas solidaritātes principu.Mums priekšā ir daudz darba, bet tagad mums ir vajadzīgie instrumenti, tāpēc nevilcinoties izmantosim tos.Es gribētu izteikt vēl vienu svarīgu piezīmi par Īrijas referendumu. Mēs nedrīkstam aizmirst tos, kuri balsoja „pret”. Par tradīciju ir kļuvis tas, ka domājam par visiem eiropiešiem, ņemot vērā viņu uzskatus un tiesības uz atšķirīgu viedokli. Tie, kas balsoja „pret”, arī vēlas pavēstīt ko svarīgu. Viņi vēlas mūs pārliecināt, un — pats svarīgākais — viņi mūs par kaut ko vēlas brīdināt. Mēs ņemam vērā šo brīdinājumu, tāpat kā ņemsim vērā viņu balsojumu, bet mēs esam ļoti priecīgi, ka vairums Īrijas iedzīvotāju nolēma balsot „par” un atbalstīt vienotas Eiropas ideju. Es pats esmu apņēmies smagi strādāt, lai palīdzētu jums sajust, ka mūsu vienotā Eiropa ir arī jūsējā un ka mēs visi kopā veidosim Eiropas nākotni.***Es gribētu pāriet pie diviem citiem jautājumiem, un tie ir skumji jautājumi.Es gribētu atgādināt par kādu milzīgu traģēdiju un tādējādi pieminēt dubļu nogruvuma upurus Mesinas apkārtnē Sicīlijā. Esmu jau izdevis ziņojumu Eiropas Parlamenta vārdā, izsakot līdzjūtību upuru ģimenēm un draugiem. Es tajā laikā atrados Itālijā un publiski izteicu līdzjūtību mūsu draugiem, partneriem un visiem Itālijas iedzīvotājiem.***Pirms sākam, es gribētu arī atgādināt to, ka šodien ir krievu cilvēktiesību aizstāves un žurnālistes Anna Politkovskaya nāves trešā gadadiena. Viņas slepkavas joprojām nav saukti pie atbildības. Tomēr viņa nav vienīgais upuris. Šajā sakarībā atcerēsimies arī citus sociālos aktīvistus, kas ir nogalināti pēdējos trīs gados. ",Priekšsēdētājs.,18,519,not_available,"['lav', 'lav', 'lav', 'lav', 'lav', 'lav', 'lav', 'lav', 'lav', 'lav', 'lav', 'lav', 'lav', 'lav', 'lav', 'lav', 'lav', 'lav']","['  Priekšsēdētājs.   – Dāmas un kungi, šīs plenārsēdes sākumā es vēlētos sacīt dažus vārdus par pagājušā piektdienā notikušo referendumu. Esmu ļoti apmierināts ar tā iznākumu. Tā bija nozīmīga diena Īrijai un Eiropai.', '(Aplausi)', 'Jāteic, ka rezultātu paziņošanas brīdī es biju Eiropas otrā malā, Sicīlijā, un tur tos uzvēra gluži tāpat, kā tos uztvērāt jūs ― ar aplausiem. Arī daudzviet Eiropā ļaudis priecājās par Īrijas referenduma iznākumu. Īri ir nepārprotami apliecinājuši, ka joprojām vēlas dzīvot vienotā kontinentā. Míle buíochas do mhuintir na hÉireann. Tūkstoškārt pateicos un apsveicu ar referenduma iznākumu. To teicu īru valodā ― iespējams, ne pilnīgi precīzi, bet apmēram tā tas skan.', 'Eiropas Savienība ir pierādījusi, ka spēj ieklausīties savu iedzīvotāju pamatotajās bailēs un attiecīgi rīkoties. Īrijai dotie solījumi izrādījās pienācīgi un pārliecināja vēlētājus, ka Lisabonas līgums dos labumu viņu valstij. Tā bija pilsoniskās sabiedrības uzvara, un tas ir labs arguments joprojām nerimstošajās dalībvalstu debatēs.', 'Es gribētu uzsvērt, cik liela nozīme bija darba devējiem, arodbiedrībām, zemnieku un zvejnieku organizācijām, kā arī Baznīcai un sociālajiem līderiem. Viņi sekmēja referenduma pozitīvu iznākumu.', 'Es gribētu arī apsveikt Īrijas valdību un opozīciju, kā arī vienu no saviem priekšgājējiem, Pat Cox, kurš vadīja kampaņu „Ireland for Europe”. Apsveicu, Pat Cox!', '(Aplausi)', 'Esmu pārliecināts, ka ratifikācijas process turpināsies un beigsies pozitīvi divās atlikušajās dalībvalstīs. Esmu saņēmis Polijas prezidenta apstiprinājumu tam, ka tagad, kad ir zināms Īrijas referenduma pozitīvais iznākums, viņš bez vilcināšanās parakstīs Lisabonas līgumu.', '(Aplausi)', 'Ceru, ka prezidents Václav Klaus rīkosies tāpat, tiklīdz Čehijas Konstitucionālā tiesa kliedēs atlikušās šaubas.', 'Lisabonas līguma mērķis ir sagatavot Eiropas Savienību 21. gadsimta pārbaudījumiem. Mums jāuzklausa iedzīvotāju bažas saistībā ar enerģētikas problēmām, pieaugošo bezdarba līmeni, imigrāciju un klimata pārmaiņu jautājumiem. Mums būs jārīkojas kopā, kā jau esam to daudzkārt darījuši agrāk, un mēs nedrīkstam aizmirst, ka panākumus var gūt, ievērojot Eiropas solidaritātes principu.', 'Mums priekšā ir daudz darba, bet tagad mums ir vajadzīgie instrumenti, tāpēc nevilcinoties izmantosim tos.', 'Es gribētu izteikt vēl vienu svarīgu piezīmi par Īrijas referendumu. Mēs nedrīkstam aizmirst tos, kuri balsoja „pret”. Par tradīciju ir kļuvis tas, ka domājam par visiem eiropiešiem, ņemot vērā viņu uzskatus un tiesības uz atšķirīgu viedokli. Tie, kas balsoja „pret”, arī vēlas pavēstīt ko svarīgu. Viņi vēlas mūs pārliecināt, un — pats svarīgākais — viņi mūs par kaut ko vēlas brīdināt. Mēs ņemam vērā šo brīdinājumu, tāpat kā ņemsim vērā viņu balsojumu, bet mēs esam ļoti priecīgi, ka vairums Īrijas iedzīvotāju nolēma balsot „par” un atbalstīt vienotas Eiropas ideju. Es pats esmu apņēmies smagi strādāt, lai palīdzētu jums sajust, ka mūsu vienotā Eiropa ir arī jūsējā un ka mēs visi kopā veidosim Eiropas nākotni.', '***', 'Es gribētu pāriet pie diviem citiem jautājumiem, un tie ir skumji jautājumi.', 'Es gribētu atgādināt par kādu milzīgu traģēdiju un tādējādi pieminēt dubļu nogruvuma upurus Mesinas apkārtnē Sicīlijā. Esmu jau izdevis ziņojumu Eiropas Parlamenta vārdā, izsakot līdzjūtību upuru ģimenēm un draugiem. Es tajā laikā atrados Itālijā un publiski izteicu līdzjūtību mūsu draugiem, partneriem un visiem Itālijas iedzīvotājiem.', '***', 'Pirms sākam, es gribētu arī atgādināt to, ka šodien ir krievu cilvēktiesību aizstāves un žurnālistes Anna Politkovskaya nāves trešā gadadiena. Viņas slepkavas joprojām nav saukti pie atbildības. Tomēr viņa nav vienīgais upuris. Šajā sakarībā atcerēsimies arī citus sociālos aktīvistus, kas ir nogalināti pēdējos trīs gados. ']"
3, 2.  Priekšsēdētāja paziņojumi,"  William Dartmouth (grāfs)  (EFD).   – Priekšsēdētāja kungs, kad mūs uzrunājāt kā Eiropas Parlamenta priekšsēdētāja amata kandidāts, jūs teicāt, ka būsiet ļoti objektīvs gan kā persona, gan kā priekšsēdētājs. Jāteic, ka jūs nupat teicāt runu par Īrijas referendumu — es biju piecēlies, kad runājāt, bet jūs no teksta nepacēlāt ne acu —, un tā bija viena no subjektīvākajām, atbalstošākajām runām, kādu man nācies dzirdēt, kas nebūt nav piemērota objektīvam priekšsēdētājam. (Dažādas reakcijas) ",William Dartmouth (grāfs)  (EFD).,2,68,not_available,"['lav', 'lav']","['  William Dartmouth (grāfs)  (EFD).   – Priekšsēdētāja kungs, kad mūs uzrunājāt kā Eiropas Parlamenta priekšsēdētāja amata kandidāts, jūs teicāt, ka būsiet ļoti objektīvs gan kā persona, gan kā priekšsēdētājs. Jāteic, ka jūs nupat teicāt runu par Īrijas referendumu — es biju piecēlies, kad runājāt, bet jūs no teksta nepacēlāt ne acu —, un tā bija viena no subjektīvākajām, atbalstošākajām runām, kādu man nācies dzirdēt, kas nebūt nav piemērota objektīvam priekšsēdētājam. ', '(Dažādas reakcijas) ']"
4, 2.  Priekšsēdētāja paziņojumi,  Priekšsēdētājs.   − Jūs droši vien nedzirdējāt manu runu pilnībā!(Aplausi) ,Priekšsēdētājs.,2,9,not_available,"['lav', 'lav']","['  Priekšsēdētājs.   − Jūs droši vien nedzirdējāt manu runu pilnībā!', '(Aplausi) ']"
5, 12.  Darba kārtība,"  Priekšsēdētājs.   – Ir izplatīta darba kārtības projekta galīgā redakcija, kuru izstrādāja Priekšsēdētāju konferences sanāksmē 2009. gada 17. septembrī saskaņā ar Reglamenta 137. pantu.E. Bauer ziņojums par darba laika organizēšanu personām, kas ir autotransporta apkalpes locekļi, ir noraidīts pēc balsojuma komitejā.Turklāt laikus netika iesniegti šādi ziņojumi:– R. Böge ziņojumspar Eiropas Savienības Solidaritātes fonda mobilizāciju: Itālija, Abruco zemestrīce unpar Eiropas Globalizācijas pielāgošanas fonda mobilizāciju: Vācija — telekomunikāciju nozare, un– J. Haug ziņojums — Budžeta grozījuma Nr. 9/2009 projekts: zemestrīce Itālijā.Tāpēc šie četri ziņojumi ir svītroti no darba kārtības. ",Priekšsēdētājs.,8,87,not_available,"['lav', 'lav', 'lav', 'lav', 'lav', 'lav', 'lav', 'lav']","['  Priekšsēdētājs.   – Ir izplatīta darba kārtības projekta galīgā redakcija, kuru izstrādāja Priekšsēdētāju konferences sanāksmē 2009. gada 17. septembrī saskaņā ar Reglamenta 137. pantu.', 'E. Bauer ziņojums par darba laika organizēšanu personām, kas ir autotransporta apkalpes locekļi, ir noraidīts pēc balsojuma komitejā.', 'Turklāt laikus netika iesniegti šādi ziņojumi:', '– R. Böge ziņojums', 'par Eiropas Savienības Solidaritātes fonda mobilizāciju: Itālija, Abruco zemestrīce un', 'par Eiropas Globalizācijas pielāgošanas fonda mobilizāciju: Vācija — telekomunikāciju nozare, un', '– J. Haug ziņojums — Budžeta grozījuma Nr. 9/2009 projekts: zemestrīce Itālijā.', 'Tāpēc šie četri ziņojumi ir svītroti no darba kārtības. ']"
6, 12.  Darba kārtība,"  Alain Lamassoure,  Budžeta komitejas priekšsēdētājs. – (FR) Priekšsēdētāja kungs, attiecībā uz abiem ziņojumiem par Globalizācijas pielāgošanas fonda līdzekļu piešķiršanu Vācijas telekomunikāciju nozarei un Solidaritātes fonda līdzekļu piešķiršanu Itālijai sakarā ar Abruco notikušo traģēdiju jāteic, ka Budžeta komiteja visus četrus ziņojumus pieņēma šīs nedēļas sākumā, bet ne gana laicīgi, lai pagūtu sagatavot tulkojumus. Es tikai vēlējos labot jūsu teikto: šie ziņojumi komitejā ir pieņemti. Juridisku šķēršļu nav. Tos pat pieņēma vienprātīgi. ","Alain Lamassoure,",1,69,not_available,['fra'],"['  Alain Lamassoure,  Budžeta komitejas priekšsēdētājs. – (FR) Priekšsēdētāja kungs, attiecībā uz abiem ziņojumiem par Globalizācijas pielāgošanas fonda līdzekļu piešķiršanu Vācijas telekomunikāciju nozarei un Solidaritātes fonda līdzekļu piešķiršanu Itālijai sakarā ar Abruco notikušo traģēdiju jāteic, ka Budžeta komiteja visus četrus ziņojumus pieņēma šīs nedēļas sākumā, bet ne gana laicīgi, lai pagūtu sagatavot tulkojumus. Es tikai vēlējos labot jūsu teikto: šie ziņojumi komitejā ir pieņemti. Juridisku šķēršļu nav. Tos pat pieņēma vienprātīgi. ']"
7, 12.  Darba kārtība,"  Priekšsēdētājs.   – Paldies par piezīmi. Tā ir tieši laikā. Tomēr šie ziņojumi nav darba kārtībā, jo vēl nav iztulkoti. Tam nav pieticis laika. Esmu ar jums vienisprātis. Atvainojiet. Sevis teiktajā aizgāju par tālu.Pirms Lamassoure kunga paziņojuma es ierosināju veikt divas izmaiņas. Pirmais ierosinājums bija Padomes paziņojumu par situāciju Gvinejā noteikt kā darba kārtības otro punktu. Otrais ierosinājums bija par balsojumu saistībā ar rezolūciju priekšlikumiem par kompensācijām pasažieriem. Es gribētu vaicāt, vai ir vēl kādi priekšlikumi šajā sakarā? Mēs nevēlamies sajaukt jautājumus. ",Priekšsēdētājs.,2,81,not_available,"['lav', 'lav']","['  Priekšsēdētājs.   – Paldies par piezīmi. Tā ir tieši laikā. Tomēr šie ziņojumi nav darba kārtībā, jo vēl nav iztulkoti. Tam nav pieticis laika. Esmu ar jums vienisprātis. Atvainojiet. Sevis teiktajā aizgāju par tālu.', 'Pirms Lamassoure kunga paziņojuma es ierosināju veikt divas izmaiņas. Pirmais ierosinājums bija Padomes paziņojumu par situāciju Gvinejā noteikt kā darba kārtības otro punktu. Otrais ierosinājums bija par balsojumu saistībā ar rezolūciju priekšlikumiem par kompensācijām pasažieriem. Es gribētu vaicāt, vai ir vēl kādi priekšlikumi šajā sakarā? Mēs nevēlamies sajaukt jautājumus. ']"
8, 12.  Darba kārtība,"  Barbara Matera  (PPE).   – (IT) Priekšsēdētāja kungs, dāmas un kungi, kā Budžeta komitejas locekle un arī runājot La Via kunga vārdā es gribētu īsi pievērst jūsu uzmanību, lai izteiktu vilšanos par to, ka balsojums par Solidaritātes fonda mobilizēšanu Abruco reģionam ir atlikts. Balsojums tiek atlikts par divām nedēļām un notiks Strasbūras sesijā.Lai gan mēs saprotam, ka tas notiek tehnisku iemeslu dēļ, mēs saprotam arī to, ka ir cilvēki, kas joprojām dzīvo teltīs, un Lakvila ar Abruco reģionu ir viens no aukstākajiem Itālijas rajoniem.Mēs tikai vēlamies uzsvērt šī fonda mobilizācijas procedūru izmaiņu un vienkāršošanas nozīmi. ",Barbara Matera  (PPE).,3,95,not_available,"['ita', 'ita', 'ita']","['  Barbara Matera  (PPE).   – (IT) Priekšsēdētāja kungs, dāmas un kungi, kā Budžeta komitejas locekle un arī runājot La Via kunga vārdā es gribētu īsi pievērst jūsu uzmanību, lai izteiktu vilšanos par to, ka balsojums par Solidaritātes fonda mobilizēšanu Abruco reģionam ir atlikts. Balsojums tiek atlikts par divām nedēļām un notiks Strasbūras sesijā.', 'Lai gan mēs saprotam, ka tas notiek tehnisku iemeslu dēļ, mēs saprotam arī to, ka ir cilvēki, kas joprojām dzīvo teltīs, un Lakvila ar Abruco reģionu ir viens no aukstākajiem Itālijas rajoniem.', 'Mēs tikai vēlamies uzsvērt šī fonda mobilizācijas procedūru izmaiņu un vienkāršošanas nozīmi. ']"
9, 12.  Darba kārtība,"  Priekšsēdētājs.   – Mums jārīkojas saskaņā ar Reglamentu. Tik īsā laikā bija grūti veikt tulkojumus, un šādā gadījumā mēs novilcinām jautājuma izskatīšanu. Arī man ļoti žēl, ka tā, bet es gribētu turpināt darbu un pāriet pie nākamajiem punktiem darba kārtībā, citādi radīsies milzīgs apjukums.Pirms īsa brīža es jautāju par divām lietām: Padomes paziņojumu par situāciju Gvinejā un balsojumu saistībā ar rezolūciju priekšlikumiem par kompensācijām pasažieriem. Vai šajā sakarībā ir kādi jautājumi?Jautājumu nav. Debates tiek slēgtas.(Parlaments pieņēma šos priekšlikumus) ",Priekšsēdētājs.,4,79,not_available,"['lav', 'lav', 'lav', 'lav']","['  Priekšsēdētājs.   – Mums jārīkojas saskaņā ar Reglamentu. Tik īsā laikā bija grūti veikt tulkojumus, un šādā gadījumā mēs novilcinām jautājuma izskatīšanu. Arī man ļoti žēl, ka tā, bet es gribētu turpināt darbu un pāriet pie nākamajiem punktiem darba kārtībā, citādi radīsies milzīgs apjukums.', 'Pirms īsa brīža es jautāju par divām lietām: Padomes paziņojumu par situāciju Gvinejā un balsojumu saistībā ar rezolūciju priekšlikumiem par kompensācijām pasažieriem. Vai šajā sakarībā ir kādi jautājumi?', 'Jautājumu nav. Debates tiek slēgtas.', '(Parlaments pieņēma šos priekšlikumus) ']"
